DATE,vwretd
2013-10-11,0.006894
2013-10-14,0.004080
2013-10-15,-0.006865
2013-10-16,0.012758
2013-10-17,0.007750
2013-10-18,0.006939
2013-10-21,0.000141
2013-10-22,0.005534
2013-10-23,-0.005308
2013-10-24,0.004055
2013-10-25,0.003147
2013-10-28,0.000342
2013-10-29,0.004437
2013-10-30,-0.005665
2013-10-31,-0.003506
2013-11-01,0.001408
2013-11-04,0.004324
2013-11-05,-0.003013
2013-11-06,0.003040
2013-11-07,-0.013878
2013-11-08,0.012349
2013-11-11,0.001003
2013-11-12,-0.002249
2013-11-13,0.008519
2013-11-14,0.004571
2013-11-15,0.004409
2013-11-18,-0.004646
2013-11-19,-0.003367
2013-11-20,-0.003294
2013-11-21,0.008658
2013-11-22,0.004566
2013-11-25,-0.001436
2013-11-26,0.001078
2013-11-27,0.002738
2013-11-29,0.000159
2013-12-02,-0.003638
2013-12-03,-0.003715
2013-12-04,-0.000941
2013-12-05,-0.003514
2013-12-06,0.009683
2013-12-09,0.001868
2013-12-10,-0.002813
2013-12-11,-0.012070
2013-12-12,-0.002543
2013-12-13,0.001277
2013-12-16,0.006445
2013-12-17,-0.002344
2013-12-18,0.014462
2013-12-19,-0.001026
2013-12-20,0.006904
2013-12-23,0.006229
2013-12-24,0.003476
2013-12-26,0.003993
2013-12-27,-0.000061
2013-12-30,0.000277
2013-12-31,0.004255
2014-01-02,-0.008757
2014-01-03,0.000491
2014-01-06,-0.003340
2014-01-07,0.006090
2014-01-08,0.000155
2014-01-09,0.000090
2014-01-10,0.003567
2014-01-13,-0.011641
2014-01-14,0.010257
2014-01-15,0.005066
2014-01-16,-0.000279
2014-01-17,-0.003454
2014-01-21,0.003351
2014-01-22,0.001484
2014-01-23,-0.008159
2014-01-24,-0.021135
2014-01-27,-0.006632
2014-01-28,0.007293
2014-01-29,-0.009930
2014-01-30,0.011487
2014-01-31,-0.005796
2014-02-03,-0.023197
2014-02-04,0.007612
2014-02-05,-0.001952
2014-02-06,0.011924
2014-02-07,0.012595
2014-02-10,0.001576
2014-02-11,0.010599
2014-02-12,0.001149
2014-02-13,0.006957
2014-02-14,0.004104
2014-02-18,0.003182
2014-02-19,-0.006797
2014-02-20,0.006440
2014-02-21,-0.000817
2014-02-24,0.006174
2014-02-25,-0.001268
2014-02-26,0.001034
2014-02-27,0.004900
2014-02-28,0.001673
2014-03-03,-0.006637
2014-03-04,0.015433
2014-03-05,0.000357
2014-03-06,0.001723
2014-03-07,-0.000796
2014-03-10,-0.001258
2014-03-11,-0.005526
2014-03-12,0.001300
2014-03-13,-0.011137
2014-03-14,-0.001383
2014-03-17,0.008275
2014-03-18,0.007665
2014-03-19,-0.006779
2014-03-20,0.004709
2014-03-21,-0.002864
2014-03-24,-0.006075
2014-03-25,0.003439
2014-03-26,-0.008153
2014-03-27,-0.001045
2014-03-28,0.004470
2014-03-31,0.009182
2014-04-01,0.008258
2014-04-02,0.002821
2014-04-03,-0.003118
2014-04-04,-0.012591
2014-04-07,-0.011655
2014-04-08,0.005386
2014-04-09,0.011291
2014-04-10,-0.020774
2014-04-11,-0.009794
2014-04-14,0.006520
2014-04-15,0.005170
2014-04-16,0.010627
2014-04-17,0.002272
2014-04-21,0.003484
2014-04-22,0.005567
2014-04-23,-0.002758
2014-04-24,0.000719
2014-04-25,-0.009470
2014-04-28,0.001060
2014-04-29,0.005627
2014-04-30,0.003405
2014-05-01,0.000772
2014-05-02,-0.000260
2014-05-05,0.001302
2014-05-06,-0.008724
2014-05-07,0.004403
2014-05-08,-0.002682
2014-05-09,0.001571
2014-05-12,0.011167
2014-05-13,-0.000666
2014-05-14,-0.004726
2014-05-15,-0.008375
2014-05-16,0.003401
2014-05-19,0.004287
2014-05-20,-0.006933
2014-05-21,0.007421
2014-05-22,0.003498
2014-05-23,0.004761
2014-05-27,0.005896
2014-05-28,-0.001316
2014-05-29,0.004918
2014-05-30,0.000641
2014-06-02,0.000707
2014-06-03,-0.000369
2014-06-04,0.002554
2014-06-05,0.007261
2014-06-06,0.005115
2014-06-09,0.001870
2014-06-10,-0.000362
2014-06-11,-0.003074
2014-06-12,-0.005675
2014-06-13,0.003056
2014-06-16,0.001411
2014-06-17,0.002951
2014-06-18,0.006963
2014-06-19,0.001678
